Date,FCXr1,FCXr4,FCXHigh/Low%,FCXVolNorm,DHYr1,XLFr1,SPYr1,GLDr1,RTPr1
1-Sep-06,0.034146341,0.076727734,0.073521481,0.16816265,0,0.008727054,0.012402742,-0.035506094,0.026998597
25-Aug-06,0.051859996,0.085066163,0.049546279,0.228637613,0.025345622,-0.009242695,-0.006733491,0.061603376,-0.036393474
18-Aug-06,0.02,0.080594059,0.045738046,0.198559863,0.011655012,0.028518859,0.028974097,-0.003364172,0.021698392
11-Aug-06,-0.029566479,-0.016544118,0.066027088,0.234565763,-0.011520737,-0.01924812,-0.009282371,-0.018841975,-0.040685022
4-Aug-06,0.042155009,-0.017990737,0.085984848,0.343894466,0.03087886,0.003622095,0.001719019,-0.017432432,0.004992155
28-Jul-06,0.047524752,-0.045298683,0.129676335,0.333409447,0.026829268,0.026332094,0.03251311,0.002845914,0.080943571
21-Jul-06,-0.071691176,0.014056225,0.0969286,0.400475596,0.002444988,0.020872865,0.003481218,0.022305348,-0.048275862
14-Jul-06,-0.030993944,0.126293996,0.095589627,0.360651209,0.027638191,-0.022565688,-0.024405655,-0.000415455,-0.013605442
7-Jul-06,0.013174517,0.145013257,0.062634216,0.302246728,0.007594937,0.000309215,-0.004873065,0.022080679,-0.011635115
30-Jun-06,0.112650602,-0.023440254,0.160346249,0.405106304,-0.0125,0.022770398,0.022174018,-0.01478176,0.017367681
23-Jun-06,0.031055901,-0.12153819,0.094384449,0.331742814,0.007556675,-0.006285355,-0.001444043,-0.056819676,0.026850653
16-Jun-06,-0.014888844,-0.117808219,0.156612529,0.585642121,-0.024570025,-0.026613643,-0.005584364,-0.031464968,0.033676622
9-Jun-06,-0.135882975,-0.250535005,0.184059511,0.588247553,-0.004889976,-0.016842105,-0.028294574,0.01670768,-0.105934349
2-Jun-06,0.00088199,-0.146381826,0.072852618,0.276347615,0.00245098,0.00941105,0.004829413,-0.026232816,-0.046906538
26-May-06,0.03543379,-0.122174048,0.111967624,0.535454773,0.017456359,0.010429448,0.01007081,-0.048253511,0.074898594
19-May-06,-0.163099969,-0.176691729,0.195098963,0.612959228,-0.02195122,-0.018072289,-0.016558341,0.01350365,-0.109271941
12-May-06,-0.0157966,0.029425649,0.108880309,0.340244751,-0.007263923,-0.028103044,-0.024750981,0.002561288,-0.020049403
5-May-06,0.029266027,0.089672131,0.084929757,0.31060551,-0.007211538,0.005889282,0.007986613,-0.014780101,0.090704984
28-Apr-06,-0.02887218,0.080475155,0.120839482,0.386895402,-0.002398082,0.025362319,0.002439954,-0.074304783,-0.013903649
21-Apr-06,0.046420142,0.238591917,0.121466294,0.444805619,0.019559902,0.019704433,0.018957346,0.005367927,0.040881228
13-Apr-06,0.041803279,0.194099962,0.05996732,0.212727749,-0.044392523,-0.003069368,-0.006407287,0.024636187,0.012270225
7-Apr-06,0.020578886,0.217321892,0.070687098,0.306809625,-0.011547344,0.000921659,-0.00223369,0.035476981,0.035458937
31-Mar-06,0.11324269,0.116153128,0.138822226,0.326976485,-0.009153318,-0.010036496,-0.002918363,0.020462526,0.042296073
24-Mar-06,0.008831266,0.015509741,0.06372549,0.176284848,0.013921114,-0.006646526,-0.003138876,0.003158023,0.035399614
17-Mar-06,0.06206346,0.00509915,0.108664628,0.225739842,-0.031460674,0.014093137,0.015786609,-0.042340351,0.033459052
